"","cod_pais","region","sub_reg1","sub_reg2","fecha","tiendas_y_ocio","supermercados_y_farmacias","parques","estaciones_de_transporte_publico","lugares_de_trabajo","zonas_residenciales","dia_semana","dia","n_mes","mes"
"1","AR","Argentina","","",2020-02-15,1,-3,-3,4,-1,0,"sabado",15,2,"mayo"
"2","AR","Argentina","","",2020-02-16,-6,-6,-14,-2,-4,2,"domingo",16,2,"mayo"
"3","AR","Argentina","","",2020-02-17,-10,-8,-23,-2,7,1,"lunes",17,2,"mayo"
"4","AR","Argentina","","",2020-02-18,3,3,-2,9,9,-1,"martes",18,2,"mayo"
"5","AR","Argentina","","",2020-02-19,1,0,10,8,11,-2,"miercoles",19,2,"mayo"
"6","AR","Argentina","","",2020-02-20,0,0,-8,7,9,-1,"jueves",20,2,"mayo"
"7","AR","Argentina","","",2020-02-21,3,4,-9,9,9,-1,"viernes",21,2,"mayo"
"8","AR","Argentina","","",2020-02-22,6,5,4,7,-1,0,"sabado",22,2,"mayo"
"9","AR","Argentina","","",2020-02-23,14,8,18,5,-2,0,"domingo",23,2,"mayo"
"10","AR","Argentina","","",2020-02-24,-10,-16,26,-27,-54,6,"lunes",24,2,"mayo"
"11","AR","Argentina","","",2020-02-25,-20,-17,1,-28,-50,7,"martes",25,2,"mayo"
"12","AR","Argentina","","",2020-02-26,1,2,5,9,13,-2,"miercoles",26,2,"mayo"
"13","AR","Argentina","","",2020-02-27,-1,0,-5,8,12,0,"jueves",27,2,"mayo"
"14","AR","Argentina","","",2020-02-28,3,2,-8,8,13,-1,"viernes",28,2,"mayo"
"15","AR","Argentina","","",2020-02-29,5,5,-8,6,2,1,"sabado",29,2,"mayo"
"16","AR","Argentina","","",2020-03-01,-3,3,-11,1,-2,2,"domingo",1,3,NA
"17","AR","Argentina","","",2020-03-02,1,4,-8,7,16,-1,"lunes",2,3,NA
"18","AR","Argentina","","",2020-03-03,0,5,-6,8,16,-1,"martes",3,3,NA
"19","AR","Argentina","","",2020-03-04,-1,3,-1,8,18,-2,"miercoles",4,3,NA
"20","AR","Argentina","","",2020-03-05,1,4,-9,10,18,-1,"jueves",5,3,NA
"21","AR","Argentina","","",2020-03-06,6,8,-7,12,18,-2,"viernes",6,3,NA
"22","AR","Argentina","","",2020-03-07,5,7,-10,8,3,1,"sabado",7,3,NA
"23","AR","Argentina","","",2020-03-08,3,4,-12,3,-2,2,"domingo",8,3,NA
"24","AR","Argentina","","",2020-03-09,1,5,-9,13,15,-1,"lunes",9,3,NA
"25","AR","Argentina","","",2020-03-10,3,8,-9,14,18,-2,"martes",10,3,NA
"26","AR","Argentina","","",2020-03-11,-16,-7,-24,-6,15,0,"miercoles",11,3,NA
"27","AR","Argentina","","",2020-03-12,-4,8,-16,10,18,-1,"jueves",12,3,NA
"28","AR","Argentina","","",2020-03-13,-5,10,-17,7,18,-1,"viernes",13,3,NA
"29","AR","Argentina","","",2020-03-14,-19,5,-40,-19,-4,7,"sabado",14,3,NA
"30","AR","Argentina","","",2020-03-15,-29,17,-44,-17,-10,9,"domingo",15,3,NA
"31","AR","Argentina","","",2020-03-16,-27,8,-39,-17,1,6,"lunes",16,3,NA
"32","AR","Argentina","","",2020-03-17,-41,-11,-54,-32,-12,11,"martes",17,3,NA
"33","AR","Argentina","","",2020-03-18,-43,-11,-49,-35,-19,12,"miercoles",18,3,NA
"34","AR","Argentina","","",2020-03-19,-42,5,-55,-35,-24,13,"jueves",19,3,NA
"35","AR","Argentina","","",2020-03-20,-78,-40,-80,-72,-61,29,"viernes",20,3,NA
"36","AR","Argentina","","",2020-03-21,-83,-49,-85,-75,-57,28,"sabado",21,3,NA
"37","AR","Argentina","","",2020-03-22,-87,-61,-90,-81,-58,27,"domingo",22,3,NA
"38","AR","Argentina","","",2020-03-23,-88,-64,-88,-85,-79,32,"lunes",23,3,NA
"39","AR","Argentina","","",2020-03-24,-88,-64,-88,-85,-79,31,"martes",24,3,NA
"40","AR","Argentina","","",2020-03-25,-82,-50,-82,-77,-68,28,"miercoles",25,3,NA
"41","AR","Argentina","","",2020-03-26,-83,-52,-84,-77,-68,30,"jueves",26,3,NA
"42","AR","Argentina","","",2020-03-27,-81,-49,-82,-75,-67,32,"viernes",27,3,NA
"43","AR","Argentina","","",2020-03-28,-82,-48,-84,-75,-59,29,"sabado",28,3,NA
"44","AR","Argentina","","",2020-03-29,-86,-61,-89,-80,-57,27,"domingo",29,3,NA
"45","AR","Argentina","","",2020-03-30,-81,-51,-83,-77,-68,28,"lunes",30,3,NA
"46","AR","Argentina","","",2020-03-31,-85,-59,-85,-82,-76,30,"martes",31,3,NA
"47","AR","Argentina","","",2020-04-01,-79,-46,-79,-75,-64,27,"miercoles",1,4,"abril"
"48","AR","Argentina","","",2020-04-02,-79,-47,-81,-74,-64,29,"jueves",2,4,"abril"
"49","AR","Argentina","","",2020-04-03,-77,-41,-78,-71,-62,31,"viernes",3,4,"abril"
"50","AR","Argentina","","",2020-04-04,-77,-41,-81,-71,-54,27,"sabado",4,4,"abril"
"51","AR","Argentina","","",2020-04-05,-83,-54,-87,-76,-52,26,"domingo",5,4,"abril"
"52","AR","Argentina","","",2020-04-06,-75,-41,-77,-70,-60,26,"lunes",6,4,"abril"
"53","AR","Argentina","","",2020-04-07,-82,-30,-72,-64,-59,25,"martes",7,4,"abril"
"54","AR","Argentina","","",2020-04-08,-82,-28,-69,-63,-58,24,"miercoles",8,4,"abril"
"55","AR","Argentina","","",2020-04-09,-83,-30,-75,-67,-63,27,"jueves",9,4,"abril"
"56","AR","Argentina","","",2020-04-10,-90,-58,-85,-79,-76,35,"viernes",10,4,"abril"
"57","AR","Argentina","","",2020-04-11,-84,-34,-80,-67,-52,27,"sabado",11,4,"abril"
"58","AR","Argentina","","",2020-04-12,-87,-51,-86,-74,-49,25,"domingo",12,4,"abril"
"59","AR","Argentina","","",2020-04-13,-83,-40,-74,-67,-55,25,"lunes",13,4,"abril"
"60","AR","Argentina","","",2020-04-14,-81,-31,-70,-63,-54,24,"martes",14,4,"abril"
"61","AR","Argentina","","",2020-04-15,-81,-31,-70,-62,-53,24,"miercoles",15,4,"abril"
"62","AR","Argentina","","",2020-04-16,-83,-31,-92,-61,-53,26,"jueves",16,4,"abril"
"63","AR","Argentina","","",2020-04-17,-83,-29,-92,-61,-52,28,"viernes",17,4,"abril"
"64","AR","Argentina","","",2020-04-18,-85,-36,-94,-65,-45,26,"sabado",18,4,"abril"
"65","AR","Argentina","","",2020-04-19,-89,-53,-95,-73,-48,25,"domingo",19,4,"abril"
"66","AR","Argentina","","",2020-04-20,-83,-37,-92,-62,-49,24,"lunes",20,4,"abril"
"67","AR","Argentina","","",2020-04-21,-82,-34,-92,-61,-50,23,"martes",21,4,"abril"
"68","AR","Argentina","","",2020-04-22,-83,-34,-91,-61,-49,23,"miercoles",22,4,"abril"
"69","AR","Argentina","","",2020-04-23,-83,-35,-92,-62,-49,24,"jueves",23,4,"abril"
"70","AR","Argentina","","",2020-04-24,-83,-34,-92,-63,-48,27,"viernes",24,4,"abril"
"71","AR","Argentina","","",2020-04-25,-86,-39,-94,-68,-44,26,"sabado",25,4,"abril"
"72","AR","Argentina","","",2020-04-26,-88,-52,-95,-72,-47,25,"domingo",26,4,"abril"
"73","AR","Argentina","","",2020-04-27,-84,-40,-93,-64,-47,24,"lunes",27,4,"abril"
"74","AR","Argentina","","",2020-04-28,-84,-41,-92,-68,-49,20,"martes",28,4,"abril"
"75","AR","Argentina","","",2020-04-29,-80,-27,-90,-57,-44,21,"miercoles",29,4,"abril"
"76","AR","Argentina","","",2020-04-30,-75,-20,-90,-56,-44,22,"jueves",30,4,"abril"
"77","AR","Argentina","","",2020-05-01,-90,-71,-94,-78,-73,33,"viernes",1,5,NA
"78","AR","Argentina","","",2020-05-02,-79,-26,-93,-60,-39,24,"sabado",2,5,NA
"79","AR","Argentina","","",2020-05-03,-86,-48,-95,-71,-42,24,"domingo",3,5,NA
"80","AR","Argentina","","",2020-05-04,-77,-32,-91,-61,-42,21,"lunes",4,5,NA
"81","AR","Argentina","","",2020-05-05,-76,-28,-90,-58,-43,21,"martes",5,5,NA
"82","AR","Argentina","","",2020-05-06,-75,-25,-89,-55,-40,20,"miercoles",6,5,NA
"83","AR","Argentina","","",2020-05-07,-73,-23,-89,-55,-40,21,"jueves",7,5,NA
